Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gale-force-nine-hobby-round-snake-chain,Gale Force Nine: Hobby Round - Snake Chain,"<span data-mce-fragment=""1"">Contains 2 meters / 6 feet of 1.5mm Snake Chain.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFS104,113.3980925,shopify,2,deny,manual,4.99,,true,true,'9420020221345,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_05b9ae77-a2e8-410b-ba1f-18127a39d099.jpg?v=1606171346,1,,false,,,,,,,,,,,,,,,,,oz,,2.75,active
gale-force-nine-hobby-round-bocage-flock-blend,Gale Force Nine: Hobby Round - Bocage Flock Blend,"<span data-mce-fragment=""1"">The Hobby Scenics Range offers everything the miniature hobbyist/gamer needs to finish and detail their models. It provides a palette of flocks, static grasses, basing grits and other materials that allow hobbyists to take their projects to the next level and make every base a mini diorama! The range is packaged in “Hobby Rounds” which are clear, puck shaped containers that are the perfect size for the miniature hobbyists’ tool box and even stack for convenience. Each Hobby Round contains approximately 58 Cubic Centimeters of material.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFS020,113.3980925,shopify,1,deny,manual,4.99,,true,true,'9420020248892,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_f9f6f52e-9737-4a03-95f0-5f99a005fc54.jpg?v=1606170948,1,,false,,,,,,,,,,,,,,,,,oz,,2.75,active
gale-force-nine-hobby-round-arid-static-grass,Gale Force Nine: Hobby Round - Arid Static Grass,"<span data-mce-fragment=""1"">The grass isn't always greener on the other side... Gale Force 9's new Arid Static Grass blend is perfect of all those dead, dried out, war-torn places where battles are so often fought. Deserts, scrub lands, and abandoned urban lots all look great with a few patches of yellowed, dried out grass. You can also use Arid Static Grass alongside autumn foliage for great early winter bases, snow for winter scenics, or green foliage for early spring bases.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFS004,113.3980925,shopify,2,deny,manual,4.99,,true,true,'8780540006176,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_cc517934-6fd7-4011-9b54-df978706c438.jpg?v=1606170811,1,,false,,,,,,,,,,,,,,,,,oz,,2.75,active
gale-force-nine-hobby-round-winter-dead-static-grass,Gale Force Nine: Hobby Round - Winter/Dead Static Grass,"<span data-mce-fragment=""1"">Gale Force Nine Winter/Dead Static Grass is a mixture of colors that realistically represents dead, dying, or dried out grass. Winter/Dead Static Grass is a great option for armies that are dead or dying themselves! If you want your bases to look great, but not draw too much attention away from your models, the subtle colors of Winter/Dead Static grass are a great option. Winter/Dead static grass also works for urban weeds, swamp grasses or winter ground cover.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFS003,113.3980925,shopify,1,deny,manual,4.99,,true,true,'8780540002734,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_3a9fc0cd-c308-4084-9afb-bdfb8fde8fc1.jpg?v=1606170700,1,,false,,,,,,,,,,,,,,,,,oz,,2.75,active
gale-force-nine-hobby-round-parched-straw-static-grass,Gale Force Nine: Hobby Round - Parched Straw Static Grass,"<span data-mce-fragment=""1"">Not all battles are fought on the green fields of summer. Gale Force Nine’s Parched Straw Static Grass Blend gives you an option to represent dry, cold, or arid climates. This golden static grass is blended with a dash of tan flock and fine mustard flock, for a basing material that has great texture and color. Parched Straw Blend is terrific for represented autumn fields, beachfront scrub grasses, or drought scorched farmland.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFS002,113.3980925,shopify,0,deny,manual,4.99,,true,true,'8780540006008,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_1b635259-2a74-4daf-bdad-26acc9a6155e.jpg?v=1606170584,1,,false,,,,,,,,,,,,,,,,,oz,,2.75,active
gale-force-nine-epoxy-sealant-putty-green-stuff,"Gale Force Nine: Epoxy Sealant Putty - ""Green Stuff""","<p><span data-mce-fragment=""1"">Green Stuff Epoxy Sealant Adhesive Putty 3.5 oz. Gale Force Nine 100g of ""Green Stuff"" Sculpting Epoxy. Miniature figure sculptors and modelers use Kneadatite Blue/Yellow, which they have nicknamed ""Green"", for a number of specific uses:</span></p>
<p><span data-mce-fragment=""1"">- To fashion the models used to make the molds for miniature pewter figures.</span></p>
<p><span data-mce-fragment=""1"">- To fill gaps that appear in ""built-up"" kits.</span></p>
<p><span data-mce-fragment=""1"">- To customize pieces with added parts not included in model kits.</span></p>
<p><span data-mce-fragment=""1"">- To make original sculptures. </span></p>
<p><span data-mce-fragment=""1"">Kneadatite is a room-temperature curing epoxy/polyamide sealant in two-part tape form. It is stable in its packaged form consisting of base and curing agent side by side on release film. The base and curing agent are of contrasting colors so that when kneaded together, complete mixing is easily observed. Its adhesive properties allow the artist to add detail gradually, before or after the previously applied Kneadatite has fully hardened. </span></p>
<p><span data-mce-fragment=""1"">It has excellent adhesion to stone, ceramic, metal, wood, and many plastics including vinyl. When fully hardened, it can be painted, sanded, filed, drilled, tapped, screwed, etc.</span></p>
<p><span data-mce-fragment=""1"">Kneadatite's features and benefits make it the best product available for sculptors and modelers:</span></p>
<p><span data-mce-fragment=""1"">- Extremely smooth, non-grainy texture.</span></p>
<p><span data-mce-fragment=""1"">- Long work life (1-1/2 to 2 hrs.).</span></p>
<p><span data-mce-fragment=""1"">- Ability to hold fine detail.</span></p>
<p><span data-mce-fragment=""1"">-</span><span data-mce-fragment=""1""> Adheres well to almost any surface.</span></p>
<p><span data-mce-fragment=""1"">- Has slightly flexibility after cure so it doesn't snap under stress</span></p>
<p><span data-mce-fragment=""1"">- Withstands high heat (325 F) and up to 2,000 pounds of pressure during the mold making process.</span></p>
<p><span data-mce-fragment=""1"">- Withstands up to four vulcanizations.</span></p>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFM310,113.3980925,shopify,3,deny,manual,17.99,,true,true,'8780540004196,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_81032ed3-c1b5-4cdb-a24d-b5ae216b5bd3.jpg?v=1606169457,1,,false,,,,,,,,,,,,,,,,,oz,,9.90,active
gale-force-nine-plastic-glue,Gale Force Nine - Plastic Glue,"<span data-mce-fragment=""1"">Plastic glue instantly makes a bond between any two plastic parts. Ideal for any plastic model assembly. With the precision nozzle of this pot, it is very easy to apply small dots of plastic glue without running and thus ruining the details on the miniature. The viscosity of the glue has been designed specifically with wargaming miniatures in mind. It bonds light within seconds so no extra handling/correction is needed once the pieces are together, increasing your speed and precision.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">The bottle contains 24gm of Polystyrene Cement.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GF03,85.048569375,shopify,0,deny,manual,4.99,,true,true,'9420020227132,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_50e1b59b-2e3a-4550-a76d-e5f1448fdc82.jpg?v=1606169044,1,,false,,,,,,,,,,,,,,,,,oz,,2.74,active
gale-force-nine-super-glue-rapid-cure,Gale Force Nine: Super Glue - Rapid Cure,"<span data-mce-fragment=""1"">If you have never tried a Superglue Rapid Cure - you are in for the biggest surprise in your</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Hobby career! Ever tried to sit for endless hours trying to glue to micro pieces of metal</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">together, or two really large parts? That is all history now: Rapid Cure will instantly dry &amp;</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">harden superglue with only 1 dose - directly onto the glue and the parts you try to assemble.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Once you have tried gluing with this you will never go back to ""normal"" time consuming</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">gluing. This is a top quality product used by Dentists worldwide. It comes with a handy</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">brush applicator for precise application.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">The bottle contains 10gm of Rapid Cure.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GF02,113.3980925,shopify,3,deny,manual,5.99,,true,true,'9420020229242,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_57ba4717-eec8-4d5a-9d27-efb4fa1e0a52.jpg?v=1606168849,1,,false,,,,,,,,,,,,,,,,,oz,,3.29,active
colours-of-war-paint-brush-set,Colours of War - Paint Brush set,"<p data-mce-fragment=""1"">Three brushes:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Small Brush</li>
<li data-mce-fragment=""1"">Medium Brush</li>
<li data-mce-fragment=""1"">Small Drybrush</li>
</ul>",Battlefront Miniatures,Paint,AHG,true,Title,Default Title,,,,,CWP101,113.3980925,shopify,0,deny,manual,14.99,,true,true,'9420020227354,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_8fb00fd9-07e2-4118-b34b-a86bf8e66797.jpg?v=1606168694,1,,false,,,,,,,,,,,,,,,,,oz,,8.10,active
star-wars-x-wing-double-sided-gaming-mat-asteroid-field-space-station,Star Wars X-Wing: Double-Sided Gaming Mat - Asteroid Field/Space Station,"<p><span data-mce-fragment=""1"">Double sided Asteroid Field / Space Station space gaming mat in an</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">epic size, perfect for all your gaming needs, made out of flexible</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">neoprene.</span></p>
<p>36in X 36in</p>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,BB954,453138.77763,shopify,1,deny,manual,44.99,,true,true,'9420020239821,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_c9263e18-4c29-435c-80ff-2b3c3e4de300.jpg?v=1606168557,1,,false,,,,,,,,,,,,,,,,,lb,,24.74,active
waterdeep-dragon-heist-collectors-series-laeriel-silverhand,Waterdeep Dragon Heist: Collector's Series - Laeriel Silverhand,"<span data-mce-fragment=""1"">To complement the upcoming Dungeons and Dragons™ Dragon Heist book, Gale Force Nine are releasing a new set of Collector’s Series miniatures.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">This Laeriel Silverhand miniature allows you to bring the adventure to life on your tabletop and will only be available for a short time.</span>",Battlefront Miniatures,Miniatures,AHG,true,Title,Default Title,,,,,'71066,113.3980925,shopify,1,deny,manual,9.99,,true,true,'9420020242562,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_a388b5fa-25e3-4caf-803f-fa392c111c47.jpg?v=1606168373,1,,false,,,,,,,,,,,,,,,,,oz,,5.50,active
fw906,Team Yankee: Leopard - West Germans in World War III,"<p><em>Leopard – West Germans in World War III</em><span> </span>is the first supplement for<span> </span><em>Team Yankee</em>, the World War III miniatures game. It introduces the forces of West Germany to the turbulent battlefields of World War III in 1985. Leopard and the West German range of<span> </span><em>Team Yankee</em><span> </span>models include everything you need to hold back the Red Menace.</p>
<p>Inside you will find background on the West German<span> </span><em>Bundeswehr</em><span> </span>(armed forces) and<span> </span><em>Heer</em><span> </span>(army) and their role in the initial stages of World War III. You will also find the stories of Panzer Division 1 and Kampfgruppe Müller as they fight to defend their country form the invading communist forces.</p>",Battlefront Miniatures,Tabletop Gaming,AHG,false,Title,Default Title,,,,,FW906,680.388555,shopify,0,continue,manual,19.99,,true,true,'9780994120663,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/Thumbnail_aadd9f9c-c50f-4820-bab0-76ad5cdbcfe2.jpg?v=1604612960,1,,false,,,,,,,,,,,,,,,,,lb,,11.00,active
fw907,Team Yankee: Iron Maiden - British Army in World War III,"<p><span>When World War III broke out in August 1985, the British Army Of the Rhine (BAOR) had been defending the West on the border between West Germany and East Germany for just over 40 years. These soldiers, the third generation of British soldiers to stand watch on the North German Plain, quickly proved their mettle. With the release of </span><em>Iron Maiden</em><span>, the British are coming to </span><em>Team Yankee</em><span>.</span></p>
<table class=""normal10"" border=""0"" cellspacing=""0"" cellpadding=""6"">
<tbody>
<tr>
<td class=""normal10"">
<p><em>Iron Maiden</em><span> </span>covers the British Army Of the Rhine and features four different formations that you can field:</p>
<p><strong>The Death or Glory Boys</strong><span> </span>(or 17th/21st Lancers) bring the might of the Chieftain tank, with up to 14 per formation.</p>
</td>
</tr>
</tbody>
</table>
<table class=""normal10"" border=""0"" cellspacing=""0"" cellpadding=""6"">
<tbody>
<tr>
<td class=""normal10"">Supported by Swingfire anti-tank guided missile armed vehicles, as well as a recce troop of Scorpions, Abbot field artillery and a platoon of mechanised infantry each Chieftain Armoured Squadron is more than capable of defending the line against the Soviets.</td>
</tr>
</tbody>
</table>
<table class=""normal10"" border=""0"" cellspacing=""0"" cellpadding=""6"">
<tbody>
<tr>
<td class=""normal10"">What the tanks seize, the infantry hold. And the men of the<span> </span><strong>Irish Guards</strong><span> </span>are no strangers to difficult missions, having faced the Germans in World War II and now the tide of Soviets 40 years later. Each mechanised company is based around three platoons of infantry transported in FV432 personal carriers. They bring their own mortar carriers, mobile Spartan Milan launchers as well as infantry Milan teams. Like the tanks, they can expect support from Chieftains, artillery and Scimitar recce troops.</td>
</tr>
</tbody>
</table>",Battlefront Miniatures,Tabletop Gaming,AHG,false,Title,Default Title,,,,,FW907,680.388555,shopify,0,continue,manual,19.99,,true,true,'9780994120694,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/Thumbnail_e9747efd-79c3-403d-bc6d-ba259ab17946.jpg?v=1604612958,1,,false,,,,,,,,,,,,,,,,,lb,,11.00,active
fw913,Team Yankee: Rulebook - World War III (2017 Edition),"<p>The latest two army books,<span> </span><em>Stripes</em><span> </span>and<span> </span><em>Red Thunder</em><span> </span>have greatly improved the range of options available to US and Soviet players to the point where the old lists included in the original printing were out of date. So they have replaced those with Force Diagrams for all five nations currently in<span> </span><em>Team Yankee</em>, as well as a miniature catalogue of all the models currently in our range.</p>
<p>These new Force Diagrams will make it much easier for new players to work out which nation they would like to field, as well as helping them to plan out the first armies. Because all<span> </span><em>Team Yankee</em><span> </span>models come with the appropriate Unit Cards these you can even start building a new army without buying the appropriate Army Book if you desire.</p>",Battlefront Miniatures,Tabletop Gaming,AHG,false,Title,Default Title,,,,,FW913,680.388555,shopify,0,continue,manual,24.99,,true,true,'9780994147448,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/FW913_72aac0c8-183f-4229-a5b0-d2524748c72f.png?v=1604612957,1,,false,,,,,,,,,,,,,,,,,lb,,13.75,active
fw914,Team Yankee: Free Nations - Hardback,"<span>The world of </span><em>Team Yankee</em><span> continues to expand, and this book adds four more nations to the roster of forces with which to play. </span><em>Free Nations</em><span> started as an idea to add some of the forces of the smaller NATO nations, but grew into something much bigger with four western nations covered (well, technically five if you choose to run your ANZACs as New Zealanders). Wayne looks at </span><em>Free Nations</em><span> and all the different nations in the book.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,false,Title,Default Title,,,,,FW914,907.18474,shopify,0,continue,manual,24.99,,true,true,'9780995104204,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/s-l225_1138aa5e-6dca-44de-8d98-49da4a2dd7d6.jpg?v=1604612955,1,,false,,,,,,,,,,,,,,,,,lb,,13.75,active
bmp-1-or-2-company,Team Yankee: Soviet - BMP-1/BMP-2 Company,"<p>The BMP-1 is a Soviet amphibious tracked infantry fighting vehicle. BMP stands for Boyevaya Mashina Pekhoty 1, meaning ""infantry fighting vehicle"".</p>
<p>The BMP-1 was the first mass-produced infantry fighting vehicle (IFV) of USSR. Based on lessons learned from early experiences in the Soviet War in Afghanistan, a version with improved fighting qualities was developed, called the BMP-2. It was accepted into service in August 1980.</p>
<p><span>Includes five plastic BMP-1 or 2 transports, Decal Sheet and Crew</span></p>
<p> </p>
<p> </p>",Battlefront Miniatures,Tabletop Gaming,AHG,false,Title,Default Title,,,,,TSBX02,255.145708125,shopify,0,deny,manual,44.99,,true,true,'9420020229747,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/TSBX02-00.jpg?v=1604612941,1,,false,,,,,,,,,,,,,,,,,oz,,24.75,active
team-yankee-mechanised-platoon,Team Yankee: World War III Miniatures Games - Mechanised Platoon,"<span class=""summary11"">Includes four GPMG teams with 66mm anti-tank, three Carl Gustav anti-tank teams, one 2"" mortar team one Small two-hole base, seven Medium four-hole bases &amp; three Unit cards.</span><br>
<p>As the FV432 armored personnel carrier was designed to carry a full section of infantry, the mechanized platoon mirrors the organisation of the standard rifle platoon with a HQ section and three rifle sections. </p>",Battlefront Miniatures,Tabletop Gaming,AHG,false,Title,Default Title,,,,,TBR702,170.09713875,shopify,0,deny,manual,17.99,,true,true,'9420020231603,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image_36aa8432-5124-43f2-8078-18f83ab36dec.jpg?v=1607542433,1,,false,,,,,,,,,,,,,,,,,oz,,9.90,active
team-yankee-mechanised-platoon,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/tin_c33f5e55-9274-416a-96ce-d7f3197c43d9.jpg?v=1607542433,2,,,,,,,,,,,,,,,,,,,,,,
team-yankee-oil-war,Team Yankee: Oil War - World War III in the Middle East (Army Book),"<p>With Europe ablaze the shadow of war quickly crept across the globe. In the Middle East, Iran and Iraq had been locked in a conflict across their border since 1980, and looked unlikely to stop anytime soon.  Further west, Israel and Syria had come to blows in Lebanon as Israel fought PLO forces operating from inside their northern neighbour. The oil rich region, already rife with conflict and tension, was about to be drawn into World War III as the Soviet Union and US led NATO set about protecting their interests in the black gold that kept the wheels of industry turning.</p>
<p><em>Oil War</em><span> </span>includes information on World War III in the Middle East, covering Israel, Iraq, Syria and Iran in <em>Team Yankee</em>.</p>",Battlefront Miniatures,Tabletop Gaming,AHG,false,Title,Default Title,,,,,FW917,680.388555,shopify,0,deny,manual,19.99,,true,true,'9780995104259,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/Oil-Wars-Cover-a.jpg?v=1604612937,1,,false,,,,,,,,,,,,,,,,,lb,,11.00,active
team-yankee-world-war-iii-american-rulebook,Team Yankee: World War III - American Rulebook,"<span data-mce-fragment=""1"">Inside the 108pg Hardback World War III: American book you will find: Background on the US 5th and 7th Corps, 1st Armored Division, Combat Team Alpha, 82nd Airborne Division, 9th Motorised Division, and the 2nd Marine Division. Instructions on how to build a variety of different Formations, three Scenarios to test your skills and a detailed painting guide to help you prepare your US troops for combat.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,WW3-03,544.310844,shopify,0,deny,manual,20.00,,true,true,'9781988558172,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/Thumbnail.jpg?v=1604172707,1,,false,,,,,,,,,,,,,,,,,lb,,11.00,active
